,title,rating,pros,cons
2497,"""Program Manager""",4.0,"Great environment, excellent benefits and good balance between work and personal life.","Rapid changes, changing regulatory requirements"
2498,"""Corporate Banking Analyst""",3.0,Global clients and diversity,"Given the size of the firm, it's very hierarchical and political"
2499,"""Volatile changes""",3.0,Work life balance was respected,The organizational restructuring was ongoing
2500,"""Horrible vacation.  Horrible management""",2.0,Great coworkers. Decent health insurance.,Vacation is a joke.  Two weeks mandatory out of 17 total days given.
2501,"""Great team. Boring job""",3.0,The people I worked with were great. Good immediate supervisors. Good benefit / vacation package. No waiting period on Medical/Dental benefits.,Work was monotonous. Difficult to advance. Not crazy about senior management
2502,"""Citi Business Banker""",3.0,Great learning experiences and flexibility,"If you don't exceed goals, your job is on the line."
2503,"""Global Company but lackluster site""",3.0,Great health benefits and challenging work assignments.,"Significantly underpaid, limited upward mobility. Citi at larger campuses like NYC andTampa seem to be great, but it's not the same for smaller sites like Hartford."
2504,"""Great Company""",5.0,Ability to have your ideas touch all corners of the globe.,Size can restrict ability to secure sufficient consistency
2505,"""Relationship Manager Associate""",2.0,"Benefits, health insurance, 401k, paid time off",bureaucracy and nepotism at its best.
2506,"""Vice President""",4.0,"Progress, training, nice people, good location, money","Pay could be better, big firm management problems."
2507,"""Company review""",4.0,"management was good, no issues, no race discrimiation",aggressive timelines with the development of application
2508,"""Huge company with opportunity""",3.0,"Growth opportunity, good work/life balance in some areas, large global presence","Political, can be difficult to advance in terms of compensation"
2509,"""Sales & Trading Analyst""",3.0,Good pay and decent hours,Strangely competitive environment among colleagues
2510,"""Sales & Trading Analyst""",3.0,Good pay and decent hours,Strangely competitive environment among colleagues
2511,"""Great Company to work for""",5.0,"Global, Diverse and challenging - has every tech product under the sun. Access to unlimited digital resources for learning an growth","bureaucratic, some benefits such as tuition reimbursement could be better"
2512,"""Decent""",3.0,"6% Match on 401k
Telecommute Options
Autonomy","No room to excel in this specific business
Do not feel apart of a team 
Salary Increases are not competitive"
2513,"""For programmers...""",3.0,"Great benefits. 

Mostly individual projects.

Opportunity to take charge of applications and make yourself into a subject matter expert.","Teams worry too much about covering their butts and are generally not very helpful unless the task is easy.

Too much focus on time and not enough on quality.

My manager's often don't know much or care about the intricacies despite the impact they can have.

Poor talent pool at times. I work amongst a programming team in which most seemed to have stumbled into programming. They don't have much advanced knowledge. Most don't even know what a linked list is."
2514,"""Citi""",4.0,Citi has a positive team environment.,I prefer not to respond.
2515,"""Overall positive experience.""",5.0,"Nice, hard working and diverse environment. Also, work - life balance is amazing, at lease on the Consumer Banking side.","It is not a very innovative and creative environment. Though, they recently launched some interesting efforts on emerging payments through your phone etc."
2516,"""Supervisor""",2.0,"Culture, structure, benefits, pay, employees","Politics, systems, management, biased, micromanage"
2517,"""Live at Citi""",4.0,"Large company, structured, fun place at times and nice office",Training can be all over the place depending on when you start
2518,"""Banker""",4.0,This was a great experience,I did not enjoy the sales goals
2519,"""Great Place to Work""",4.0,The Colleagues and the opportunities,Slowness of a large organization
2520,"""Great place, great benefits!""",5.0,"Very flexible hours, crazy differential pay, great management and training team","Call center - stressful environment, very focused on metrics"
2521,"""Great job with great benefits""",5.0,Schedule flexibility great health benefits,None to speak of always treated great
2522,"""Short Title""",4.0,Good exposure to a global company,Can get pigeon holed if not actively managing career
2523,"""Operations Manager""",5.0,"Excellent Benefits, good company moving in right direction","getting better, but at times the lines of business are too segmented"
2524,"""Unorganized""",2.0,"Mobility options were available, as everywhere, with the building of an effective network.  Great exposure to large client base, and challenges faced within Financial Services, but also the client industries.","The only way to get a significant raise, even with mobility, was to leave the company. 
 Conflict within management.  Goals seemed to be constantly changing.  Solutions to most problems tended to implement further restrictions, rather than explore new opportunities."
2525,"""VP Finance""",2.0,Flexible work schedule and remote work.,Constant management changes.  Changes made without proper due diligence.  Right hand doesn't know what the left is doing.
2526,"""Good company""",4.0,huge company with many positions,not that many benefits for part time employees
2527,"""Closed Market - Not enough resources""",2.0,"Decent pay, great products and services. Great support by area management.","Didn't put enough resources into Phila. market to be successful.  Charitable giving,community involvement, advertising, etc. Didn't invest in enough prime locations. Market was not put into a position to succeed."
2528,"""Excellent opportunities.""",4.0,Global footprint. Develop multitude of experience.,Bureaucratic. Slow to change. Lack of direction at mid levels.
2529,"""credit analyst""",4.0,competitive compensation if you have the right position and good benefit package.  nice people and decent working conditions,sometimes things get busy and management forgets that their people are working as hard as they can to get things done
2530,"""credit analyst""",4.0,competitive compensation if you have the right position and good benefit package.  nice people and decent working conditions,sometimes things get busy and management forgets that their people are working as hard as they can to get things done
2531,"""Good entrance into banking""",3.0,"Big organization, good opportunities for entry and mid level career personnel",Opportunities into upper level management are rare for internal personnel
2532,"""Good place to work""",4.0,"Benefits, wages, people you work with","Weekend work, different shifts open on holidays"
2533,"""Credit Anaylst III""",3.0,All the managers are great.,It's a call center.
2534,"""Manage team of 25 call center reps""",4.0,"Benefits, vacation time is fantastic, people, growth opportunities, autonomy in role","Lack of communication, systemic issues, lack of accountability, IT department is awful, turn around for addressing issues is very slow"
2535,"""Great company""",5.0,Great company to work for if you really want to work. If you just want a paycheck don't go there.,"You have to enjoy it, it is a lot of pressure if you don't really want to be successful. Not for everybody."
2536,"""Great to start your career""",5.0,People are nice and welcoming,Haven't been there long enough to comment
2537,"""Decent money for the headache""",3.0,"Paid training, and the work is very easy as long as you pay attention; it's just extremely repetitive.

They give great benefits, and almost a months worth of paid time off. You just have to be careful to not go over the ""unplanned"" time.

There are some good options to move up, but they are free and far between.","You won't know how to do the work being expected of you once you're done in the training. You'll be put on the floor, and told to read procedures and figure it out, but the people around you are usually willing to help out.

A lot of the problems just come down to bad communication, but management would rather keep saying it's the agents responsibility to stay up to date rather then actually talking with line level reps to make sure everyone understands, and is in a good position to succeed."
2538,"""Great place to work""",4.0,"Great people, great benefits and plenty of opportunities for those that are motivated, ambitious and want to excel. I have been with the company for 8 years and the experience, education and skills I have learned could not have been taught in a classroom. Very positive culture with unique appreciation programs.","Not to many cons, it's what you make of. Insurance cost has increased over the years and annual increases are low, but this is also based on your employment level and monthly/ annual performance reviews."
2539,"""GREAT OPPURTUNITY""",5.0,"I was nothing when I came in, and they saw talent in me.  They developed me into a strong financial executive I am today, although I was only a banker then.",None really.   I only wished I had stayed!
2540,"""Good Company""",4.0,"Good company to work for. Culture is changing for the better and people are getting promoted based on merit, but they still have ways to go.","Salaries are a little lower than the market. Team work is preached by Senior Management, but many time not followed by employees. Specially in areas such as Wealth Management"
2541,"""Citi Analyst""",3.0,"Good pay, demanding culture, high performance organization",Tough people and culture. Manager not concerned about junior people
2542,"""Internship""",4.0,Pay was fantastic and the work was rewarding,Location was inconvenient and the company culture is dull
2543,"""Every employee for themselves. Very political, no company culture.""",1.0,"I meet some great people. I'd say the experience in general was ""ok"" but the most I took away from the company was the people I meet (people on the front line) not managers and executives.","No work life balance
Low Pay
No Engaging Management 
Very Political
Project overload
Unethical (every couple months we received an email stating we were paying millions in fines for unethical practices)."
2544,"""Citi Review""",4.0,"- Full-time Work from Home.  
- Boss who means it when he says ""I don't care where you work from as long as you get the job done.""
- Company 401k match is dollar for dollar up to 6% of your salary.","- 50% of employees have been here less than 5 years.
- After promotion to VP 10 years ago, no rasies come with ""lateral"" moves at VP level.  The only way to get more money is to get promoted to SVP or leave and come back.
Mgmt has no qualms about bringing in people with less experience and paying them significanly more than people already doing that role.
- Pension plan was dropped in 2009.  Former colleague stated that ""One year at Prudential and my pension was more than 10 years at Citi.""
- No matter what you do your raise and bonus are tied to the old collegial review.  No matter what you've done if someone else does a better job of presenting his / her employees cases, then you lose.  It's one of those places where if they don't like you and you mange to walk on water the response will be ""Yea, but you can't swim!""
- Stuck at bottom of VP scale, only stair-step raises, even after receiving exceptional ratings."
2545,"""Software Engineer""",4.0,"Flexibility, tools at hand, room for innovation",Corporate culture and red tape
2546,"""Vp""",4.0,"Friendly, accomadative, nice, reasonable, open","Slow, lack of unique, less competitive, lack of incentive"
2547,"""Vast Opportuntities are possible""",3.0,Citi has a very diverse footprint and allows you to experience opportunities at Citi that are unlikely at other financial institutions given the many different countries where Citi has a banking presence.,"The application of policy and practice can sometimes be disjointed.  Meaning that a staffing policy for one business, group, or team may not be consistent with another.  I understand given Citi worldwide presence, but I am referring to within one business segment (e.g. North America Consumer business)."
2548,"""Culture at Citi""",3.0,Citi has the reach and resources to make a difference in the world!,"The culture at Citi remains old school, old boy, and beaucratic.  Slow moving.  No strong corporate values or adherence to sustainable exciting culture."
2549,"""Do not waste your valuable job seeking time on this company""",1.0,Only my direct manager.  No other pros since the so called merger,"Run away from any Citi job postings as quickly as you can.  In the days before the ""merger"" it was a research and development leader, innovative.  Other companies followed their lead. Senior management is incompetent and has no interest in employee development or real team work."
2550,"""Solid Teller Job""",5.0,Easy work. Good company culture.,"Teller system is out of date when compared to other banks, but it's fine."
2551,"""Best and Most Valuable Career Experience""",5.0,"International organization with international assignment opportunities.  Great business opportunities and you represent a great brand with a rich history.  You meet some of the best and brightest people at Citi, and some become very close and wonderful friends.","Cons are standard, large banking organization, but don't think it is different to any other."
2552,"""Bank Teller""",2.0,"Flex Schedule, decent pay, had a wonderful boss at the Little Italy Branch",SO sales driven became unbearable.
2553,"""Citi""",2.0,Large company with possibility for internal mobility,"Political and bureaucratic, and not a meritocracy."
2554,"""operations manager/assistant manager""",3.0,"good benefits great team, hours were good not open saturday","bad management , fired me without even giving me corrective action"
2555,"""Need to improve mid-level manager evaluatioin""",4.0,Flexible work arrangement - many people can work from home or have flexible working hours. A true global company with colleagues available around the clock - Citi never sleeps!,Some mid-level managers are not on par of the competence level.
2556,"""Environment""",4.0,Good company to work for.,To many changes in leadership.
2557,"""Citi""",4.0,"Puts client first, flex work for employees",Tough environment for career growth
2558,"""Loan Processor""",4.0,Very nice facility with on campus daycare and cafeteria. Always has on-campus events. Very helpful when trying to move up.,Far from inner city. Traffic. Management was one-sided.
2559,"""Employment Review""",4.0,Good technology and excellent employee benefits,Underpaid and there are some management members that are backstabbing
2560,"""Employment Review""",4.0,Good technology and excellent employee benefits,Underpaid and there are some management members that are backstabbing
2561,"""Great Benefits, Awesome CoWorkers""",4.0,Great benefit from day one. Decent pay. My managers were always willing to help me find a great work life balance. My co-workers​ were awesome and I made many great friends.,"The nature of the job can be difficult. I mean let's face it, customers dunt call their credit card to tell you how happy they are, so dealing with many types of angry customers all day can wear you down."
2562,"""Loss Mitigation""",4.0,"Decent salary, flexible, good benefits.",Had Assistant Center Manager that was unqualified  and unprofessional .
2563,"""sales manager""",3.0,they are a large company and global,they have a lot of layoffs with market changes
2564,"""part time teller""",3.0,"good working experience, nice atmosphere, coworker are helpful","busy job, many customer, short lunch break"
2565,"""Personal Banker""",4.0,"Vacation time, salary, employees, location","no personal life, hard to get vacation time when you ask months in advance"
2566,"""vp""",5.0,Great company for career development,Restructured are painful for talent people that are remote
2567,"""Citi has changed.""",3.0,"Still a good place to work with great benefits, vacation time and flex opportunities for your work life balance.  Senior Executive Management has made a big push to improve the employee relationships with management.","The Senior Executive Leaders are engaged, supportive and working hard to improve the Citi image.  This looks and sounds great in the news and in print.  Middle management, i.e. Managing Directors, Directors and the SVP level, they only care about making their bonuses.  They will sacrifice anyone as long as they make their numbers and bonus.  When they no longer have the leverage, either your gone or they take the package and run."
2568,"""Risk manager""",3.0,Global presence you can work in many countries.,very big company. not a family sense
2569,"""vp business development""",3.0,relaxed atmosphere to work in,too slow to change direction
2570,"""C in citi stands for change""",4.0,"Citi loves it's employees while they need you, there is alot of company pride throughout the building.
Great benefits including 401k match","Mediocre pay
Large layoffs a couple times a year
Jobs evolve without upgrading job level"
2571,"""Sr Project Manager""",4.0,Nice team and part of very big team. Leadership is good at Sr. management level. Good brand name. Variety of technology to work with.,"Team is distributed across many places including various offshore places. Communication is difficult but team is good, so one can pull thru."
2572,"""Good place to work""",4.0,Plenty of internal transfer opportunities,"Bureaucracy between global, regional, and local teams can be cumbersome."
2573,"""Tampa office is hit & miss - I missed. Will never go back & can't recommend.""",1.0,"Beautiful campus in Tampa - outdoor walkways, gym, plenty of outdoor seating. Covered parking. Nice part of town.","There is literally no on-boarding process. My direct supervisor was useless. Bragged about his 12-hour workdays. Everyone around me, every day, was just grinding it out with minimal vision, minimal strategy (no why/how - just find the nearest problem and start working.) Pay was low from the get-go, but it's my own fault for accepting. I should have seen the writing on the wall. My boss balked at an $11 fee for a new Citi group email (suggested by another employee as a process improvement.) He literally said, ""it's $11? Let me think on it."" That's how cost-conscious Citi is, so I couldn't wait for year-end raises (not.) No one in my group took lunches. So tied to their desks. Also, AVP/VP is a joke. Title structure is a joke. It isn't nearly as prestigious as one may think, and their pay demonstrates it. After I accepted, my AVP role suddenly showed in the system as AVP Analyst. 

On the day I quit, one of the NYC execs was doing a webinar. No one in my group attended, because no one freaking cares about the big picture, apparently. They just sat there, slumped in their desks, grinding it out. I dialed into the webinar and reviewed the anonymous questions posed by Tampa employees to the NYC exec, for him to answer. 9 of 10, no joke, were about the bad morale, bad pay, and lack of vision in Tampa. It confirmed everything I'd seen. I quit 2 hours later, and walked out with a pep in my step.

Final word: after speaking with several recruiting firms, they all nodded their head when I talked about Citi in Tampa. One recruiter said ""Citi sucks, everyone in Tampa knows it."" I'm so glad I left, and I pity the people who stay there and grind it out. There's so much else out there. Within 10 days, two roles were on my plate paying more, with higher-quality work and companies with better culture."
2574,"""n/a""",5.0,very good pay and benefits,very bad management and co workers
2575,"""Get out what you put in""",5.0,Huge growth opportunities if you're entrepreneurial.  If you are interested in taking on challenges they will be provided in full.  Respectful of time and effort as well.,Big ships take a long time to turn.  Citi is moving in the right direction though.
2576,"""Mortgage Representative""",4.0,"Excellent company
Care about work life balance 
Fun and inviting environment","Constant changes that aren't  necessarily positive 
Large proceeding turnover"
2577,"""Run""",3.0,Pay and benefits is nice,Everything but pay and benefits
2578,"""Work Harder than most""",3.0,"Great products for clients, pay structure for commission is great","You work harder than most institutions and have to manage personal, business, consumer lending, business lending, and everything in between while carrying a title of PERSONAL BANKER. You really are a mini financial specialist since the job entails 75 percent more than all the other banks"
2579,"""layoffs,  outsource jobs, bonuses cut""",1.0,"benefits were decent, but our costs went up.","bonuses cut, this was at least 2/3 of my salary.  Jobs cut and assets sent to outsourcers to manage, depart closed down for the most part.    Difficult manager, merit increases were nonexistent due to being in the higher salary range, although those salaries were never published, so its just their word, very demanding workload due to high volume of employees having left.  over 10 years working there and seen several employees with over 25 years let go.   I worked hard to save Citi money,  just one week I saved them over 50,000 in HOA fees, no good job or thank you, no bonus, no merit increase.   After 10 years,  I was making less and working harder than when I started,"
2580,"""Under""",5.0,A great company. Citi gave an apportunity to learn to to become an underwriter. Lots of schooling and training.,"Paid less, and need better management"
2581,"""Citi offers opportunity for advancement and college reimbursement""",4.0,"Benefits are great and include dental and eye in addition to medical. Citi offers flexible hours and embraces all diversity including ethnic, gender and sexual orientation.",There are no cons to share by me at this time. Citi is a great place to start your first career or your second career.
2582,"""Citi Corporate Banking Review""",1.0,Good pay and benefits. Opportunity to move around bank.,Many unqualified employees with lack of basic financial knowledge
2583,"""Awesome company to work for""",5.0,Exposure to all financial markets,There are not many cons.
2584,"""Great company""",5.0,Wonderful benefits and upward mobility,Sometimes lack of variety in daily activity
2585,"""Good place, not much room for growth""",4.0,Great people and management too,No real work/ life balance
2586,"""Payment Processor 2""",3.0,Good people to work with and great benefits.,Big business who mainly looks at the bottom line. Pay scale is badly outdated.
2587,"""VP""",3.0,there is great diversity and people,company is too big and is always reacting versus being proactive.
2588,"""Operations Analyst""",2.0,You have a job with a large firm.,The operations work can be very boring at times. Seems a lot like Office Space. No one seems to enjoy their job.
2589,"""Strong""",4.0,"Many, varied focused on briefings and discussions","Few, Limited based around highly complex or limited ideas"
2590,"""Strong""",4.0,"Many, varied focused on briefings and discussions","Few, Limited based around highly complex or limited ideas"
2591,"""Banking - Front Office""",4.0,"Overall good teamwork environment, fairly diverse workplace at the junior to mid-level, training at various levels and lots of resources","politics, workload can be unexpectedly heavy at times, seniors can be quite protective of their client accounts which may hurt career/professional growth for mid-level employees, a lot of training involved with high junior turnover rate"
2592,"""Good Employer""",4.0,"Good benefits
Good pay
Flexible schedules
Good work/life balance","Hard to support the company as a bank
Policies and procedures are inconsistent"
2593,"""Great experience""",5.0,Lots of mobility initially with a huge AML program.,Underpaid for the amount of work that is done.
2594,"""Excelent""",5.0,strong clear progression in a company that appreciates forward thinking.,not a lot of office perks.
2595,"""Great company""",5.0,Treat employees very well. Great place to work at.,There are some people hard to deal with. But that's manageable.
2596,"""sec lending dept""",2.0,"co-workers are nice.
job is easy","out-dated systems
no real employee recognition
unqualified managers
long hours
no room to grow in the company"
2597,"""Rates Technology Associate""",3.0,"Great company, one of the market leaders in the Rates space.","Career opportunities, internal mobility is not enough promoted"
2598,"""Not even a 3 star company""",2.0,"Vacation time is generous 
401K match to 6%
Some flexibility to work from home on days that you need it","Technology is backwards 
Slow decision making 
HR function is deplorable
Career development is non existent 
Promoting people is based on whether or not you're in the 'club' with the right folks and has nothing to do with actual competence"
2599,"""Ok workplace""",4.0,cool place to work at,did not meet many people
2600,"""Former employee""",5.0,Global network with over 800 branches in United States. Excellent customer service.,Not the best interest rate on saving accounts. Mostly deals with large businesses
2601,"""Intern""",5.0,"Great culture, great pay,",Long hours and bad work life balance
2602,"""Campus Recruiter""",5.0,"Diversity, Flex Schedule, Culture, Values","Large Company, Commute time, Long hours"
2603,"""Human Resources supervisor""",5.0,Large staff and helpful to clients,Lost in the endless beaurocracy
2604,""".""",4.0,Benefits and perks. Work flexability.,"Growth potential, adaptability to change."
2605,"""Analyst""",4.0,"Great place to work, good work life balance","less room to grow, working style way old needs to adapt to 21st century"
2606,"""high pressure, constantly changing""",3.0,global organization that is going through a lot of change,high pressure to try to recapture business lost since 2008
2607,"""Loan processor""",4.0,Monday-Friday shift is great since most departments make you work weekends,Working until 8pm can hinder outside commitments
2608,"""investment banking associate""",4.0,"good training, well-established analyst and associate programs, good selection of alternative career opportunities post completion of program","typical issues at any bulge-bracket firm, experience varies sometimes depend on your luck (i.e. deal flow, staffer's role in the group, senior bankers)"
2609,"""IT SVP""",3.0,flexibility working from home and on your own schedule,"very political environment, more attention to status reporting than to actual work done"
2610,"""24 years with the company""",3.0,Very large Global presence. I work in Technology and it is pretty much the largest environment in the world. The opportunities are tremendous.,"Like all financial companies, Citi too has been under a lot of cost cut pressure. This impacts morale of the employees."
2611,"""Ok Place to Work""",3.0,"Depending on your manager hours can be flexible.
Always a lot of work to do.","Always relocating people to different locations. Friend was moved and then laid off.
If your on IT side it pays to be Indian. Being American isn't a plus."
2612,"""senior vice president""",3.0,flexible work hours and location,"below market salary - very poor bonus
not merit based even though they claim to be"
2613,"""Mortgage consultant""",3.0,Vacation and benefits are good,Work environment and culture is poor
2614,"""Investment Banking Analyst""",4.0,Strong work product and culture among the analysts.,Upper management does not really consider commitments outside of work of analysts. Very little work-life balance.
2615,"""IT at Citigroup""",4.0,Cutting edge technology puts them as a leader.,Bureaucracy and cost cutting puts a lot of pressure on the employee to deliver.
2616,"""Analyst""",4.0,"Strong Balance Sheet, very global bank",large institution with a fair amount of facetime
2617,"""QA Analyst/Automation Engineer""",4.0,Great work and people. May be the best in providing learning/skill improvements.,*** none to say ***
2618,"""Credit Underwriter III""",3.0,Was able to work remotely from home.  Good benefits.,Not enough knowledgeable leaders and staff.
2619,"""Great people, but they work you to the bone""",4.0,"Awesome people, decent cafeteria, health center in the building","No work life balance, high stress"
2620,"""business manager""",3.0,abundance opportunities across the globe,bad management - they need to listen to their people
2621,"""If you're looking for a real family friendly career, look elsewhere.""",2.0,"Paid time off, reasonable work environment, entry level positions with room for growth, decent starting pay.","Never guaranteed that you will have a job or have a friendly environment, more so than other businesses. Lots of favoritism."
2622,"""Stable""",4.0,"Compensation and benefits are on good. Flexible about working from home. Compared to other banks, Citi is a very stable and positive environment.",Bonus structure isn't ideal and need better coffee
2623,"""Being a Team Favorite Is A Must to Be Happy""",2.0,"Close to home, great benefits",Too much favoritism for slackers who run in social circles
2624,"""Manager""",3.0,Benefits are amongst the best in this area,work life balance could be improved
2625,"""Good working environment""",5.0,People are really helpful but competitive.,Relatively high pressure and overtime could be frequent.
2626,"""Excellent Work Experience""",5.0,"Corporate Culture and Values , Organization, Motivation.",Sometimes gets hard to balance work and life
2627,"""Customer Service- Home Depot in Gray, TN""",4.0,"Insurance
All the PAID TIME you get
Voluntary Time Off (if needed)
The cafeteria isn't bad
Overall, it's an easy job","Company is very ""hands off""  meaning they give you a lot of responsibilities that should really fall on managers.  

Where banking and credit cards are so regulated,  if you fart out of compliance, someone is down your throat.

Depending on the department you're in- the pay.

Seems like when it comes to certain things, they'll give you enough rope to hang yourself with."
2628,"""Citibank""",4.0,"its nice staff Good pay and, benefit",Gets Frustrating if you do not know Spanish
2629,"""Bank Teller""",4.0,No pressure or goals on referring new accounts.,Easy to be out of balance if you don't get familiarized with system.
2630,"""Tech employee""",3.0,IT salaries were competitive,55+ hr work weeks at least 45 week/year.Many weeks it is over 60. Computer services have been moved to India
2631,"""Customer service""",5.0,Good salary promote from within,On the phone all the time
2632,"""Great company but hard to be heard""",5.0,"great work/life balance, smart people, good perks","management slow to change, low morale if you're not working on the shiniest project."
2633,"""VP""",5.0,"Worked at Citi for 20+ years - Very diverse employee population.  Loved that!
Benefits were the best out there - covered from day 1 of employment
Very involved in the community - Able to take 8 hrs away from work/year to ""give back""
Opportunities when performing well consistently
Training is very thorough - numerous weeks depending on business","Requirement to be tethered to the phones is difficult for some
Attendance policy is strict while in training - must be there to obtain required info
Salary positions tend to require long hours - many times on call if needed
Some travel required for upper mgmt"
2634,"""Credit Card Product Management""",4.0,"Strong talent pool, diverse workforce, decent work / life balance, variety of internal opportunities","Lengthy innovation pipeline, siloed organization and sometimes difficult to align on common objectives. Too many priorities make it difficult to strengthen core businesses."
2635,"""No job security""",2.0,"Pay, working environment, benefits, opportunities","No job security, Management, work life balance"
2636,"""Has a lot of good and a lot of bad.""",2.0,Able to really learn and get your feet week in the workplace.,You will work a lot of hours but you do get paid overtime.
2637,"""Analyst""",4.0,"Great cultural environment, opportunities to grow internally and abroad, horizontal organizational structure, global interaction with other units and work-life flexibility",Needs to be open to constant change and in order to advance in your career needs to receive constant feedback and support from seniors.
2638,"""Per hour""",4.0,"Good training, nice management, childcare on site","Long Drive, busy office big"
2639,"""Corporate Banking""",3.0,"Good internal mobility, big organization with huge resource pool",Lots of red-tape since it's a large organization
2640,"""tax intern""",2.0,"opportunity to lean, and see the company daily operates","hiring freeze when I was there, no chance for full time"
2641,"""Great Company to work""",4.0,Great work and people. May be the best in providing learning/skill improvements.,too much politics and limited growth opportunities.
2642,"""good hiring practices, poor management of new talent""",5.0,analyst class talent was superb,inflexible work hours and movement within the firm
2643,"""Worth a look""",4.0,"Great Benefits, competitive salary, work from home options","Limited advancement, stack ranking based reviews"
2644,"""Good as an entry level position""",2.0,You gain a lot of experience in working with customers and as part of a team.,Flexibilty is very rigid as you must always be available.
2645,"""Experience depends 85% on your manager and team""",1.0,"Like Citi overall down right hate current manager and coworkers.  Big name to put on resume with many employee engagement events from tug of war literally to family feud. You literally get to excuse yourself in the middle of the day for friendly competition i.e.. summer olympics and etc.. or tailgating in the Parkin lot to dress down for Irish holidays or bills football games. 
Chance to network with senior management and work from home depending on your manager/department as some people are easier to work with than others. And do take this literally!!!
Happy hours paid by senior management that visit from outside of buffalo or NYC 
Ability to transfer overseas if a position is available.","Some of the managers/peers are unprofessional and disrespectful prejudice even.
As well as extremely Cut throat!! If you don't play the game be prepared for constant harassment and ridicule. And hope you're not the only person of color on a backwards minded team since if you don't play the role of ""token"" they will harasses you and go on smear campaigns to ruin your chances of securing a new role within citi at the end of the year. As a lot of managers are in cohorts with each other.
Lower pay compared to competitors 
Metrics system is rigged since there are only a few scores ranging from 1-4 with 4 being the highest and a one needing a minimum score of 3 in order to transfer into a new department/role or be eligible for a promotion. For example a team can have 10 people and have only 2 scores of 4available 2 scores of 3 and then 1 score of 2 and the last five scores of 1s will be given to the remains five analysts. A score of 2 means you are holding on to your job by a string because you're doing the bare minimum to keep it in your managers eyes. And scores of 1  mean you're on the verge of facing disciplinary actions i.e. Termination. So despite how hard people work there's only so many good scores up for grabs. Brown nosing and politics unfortunately will overshadow performance. Despite diversity initiatives some people are still racist and rude and make disgusting comments that hr will write off as ""coaching"" as they are only there for Citi's best interest i.e. Management not yours. Location is off of a highway in the
Middle of nowhere with terrible reception inside and outside of the building so if you're doing phone interviews during breaks be prepared to lose reception or have to use a sick day or planned vacation to seek other opportunities. Again overall experience varies depending management/team/department. Back office/operations in general is boring head banging against the wall 9-5 barely middle class gigs anyway."
2646,"""Review of Citi""",3.0,Work with dynamic and smart people,Perpetually poor moral and threat of job move to lower cost location
2647,"""Fund Accounting""",3.0,"-low pressure
- Very good co-worker","- Poor training
- Low salary"
2648,"""Global behemoth, fairly average otherwise""",3.0,"Good people, global banking presence, recognizable brand, strong capital markets","Average M&A deal flow, heavy bureaucracy and paperwork / processes, very conservative following the crisis, heavy regulatory scrutiny due to struggles during and after the crisis."
2649,"""Excellent Organisation to Work AT""",4.0,"Global Reach, endless opportunities to learn","Not the best Compensation and Benefits 
Lot of red tape at times.
Difficult progression"
2650,"""Great place to work""",4.0,Very great benefits and very flexible. Very current with the leading companies.,Layoffs and departmental restructures often
2651,"""Citi""",2.0,Last survivor in commodities. Large global footprint with better coordination with banking as of late.,Massive bureaucracy.  Front line business completely hindered by mid-office control groups.  Lack of corporate culture beyond sharp elbows.  Most painful financial institution I have ever worked for.
2652,"""Customer service""",5.0,"Great pay, benefits, flexibility!  I've been with the company since 2000 off and on, relocated to different locations and love my job. Looking for my next spot to be remarkable maybe Kentucky.",Listen to the customers since they are the key to our success.
2653,"""Assistant Vice President - Senior Compliance Analyst AML""",5.0,"This is a great company to work for. I enjoy the work, I love the upper management, and the work is low-stress and fun to do. I get 17 PTO, 2 floating holidays, 8 public holidays, and 6 sick days. The culture is very friendly and motivational. They do a 401k match at 6 percent, they have an HSA, and you get gift cards for filling out health surveys for up to $350.",I hate that they match your 401k once a year.
2654,"""Analyst""",4.0,"Benefits, flexible schedule, cafe on site, no fee ATM on site","Distance from home, employee rating system"
2655,"""Great place to work""",4.0,Great time off benefits and multiple options for health benefits,Easy to get loss in the shuffle
2656,"""avp""",3.0,challenging environment for people who want to learn and grow,morale / overall sentiment is negative
2657,"""citi""",4.0,"benefits, shifts for all hours, easy to get time off approved",archaic system for logging time
2658,"""Good environment, training, facilities""",4.0,The products are competitive and priced well.  Locations. Pay is ok.,Big organization. Management changes and foes not try to understand local culture.
2659,"""Vice President""",3.0,Industry leader among peer group,Limited employer loyalty to long-term employees
2660,"""Average place to work""",3.0,"Flexible Work Hours
Average Pay and annual discretionary bonus is 5-6% for top rated performers in Technology","Very few growth opportunities
Health plans are expensive. Shell out $250 per person per month for non HDHP 
Poor adoption of technology to solve problems. Over reliance on endless governance processes"
2661,"""Large and impersonal but good benefits and security""",3.0,"Security, lots of vacation time and holidays, good benefits.","Slow to adopt new technologies, difficult to effect change from the bottom up, strongly-entrenched ""old-school"" culture resists changes to the status quo."
2662,"""boarderline""",1.0,Good benefits. Work with you.,"not much chance for advancement. coworkers seem pretty miserable most of the time. not so great management. horrible transition when onboarding new products, as if no prep was done."
2663,"""Processor 3""",4.0,"Good hours, flexible management, job stability","Job is underpaid, hard to move up without politics being involved."
